"filepath"	"local"	"posted"	"tagged"	"assigned_to"
"./mm_nwis_02171645-83-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02171645-84-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02234000-97-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02234000-98-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02234500-99-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02234500-100-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02236000-102-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02236000-103-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02236125-104-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02236125-105-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02236125-106-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02264000-109-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02264000-110-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02264100-111-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02264100-112-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02266200-113-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02266200-114-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02266200-115-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02266300-116-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02266300-117-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02337170-134-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02337170-135-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03036000-144-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03036000-145-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03036000-146-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03058000-147-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03058000-148-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03058000-149-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03061000-150-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03061000-151-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03061000-152-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03067510-153-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03067510-154-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03075070-157-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03075070-158-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03081000-159-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03081000-160-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03083500-161-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03083500-162-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03183500-167-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03183500-168-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03219500-169-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03219500-170-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03292480-179-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03293000-180-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03298200-188-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03374100-201-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03374100-202-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03539778-210-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03539778-211-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03597860-212-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03597860-213-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04067500-218-170214 1.0.1 bayes_5min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04067500-219-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04085108-220-170214 1.0.1 bayes_5min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04085108-221-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04087119-224-170214 1.0.1 bayes_5min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04087119-225-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_040871488-226-170214 1.0.1 bayes_5min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_040871488-227-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04121944-232-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04121944-233-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04121970-234-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04121970-235-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04124000-236-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04124000-237-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04124200-238-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04124200-239-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04125460-240-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04125460-241-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04125550-242-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04125550-243-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04136900-246-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04136900-247-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04137005-248-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04137005-249-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04137500-250-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04137500-251-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_041482663-253-170214 1.0.1 bayes_5min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_041482663-254-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04157005-255-170214 1.0.1 bayes_12min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04157005-256-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04176500-262-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04195500-264-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04195500-265-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04200500-267-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_05054000-273-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_05054000-274-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_05054000-275-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_05082500-278-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_05418400-283-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_05420500-284-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_05451210-290-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_05451210-291-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_05579630-295-170214 1.0.1 bayes_5min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_05579630-296-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_06711565-305-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_06711565-306-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_07106000-325-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_07106000-326-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_07109500-327-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_07109500-328-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_07143672-329-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_07144100-330-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_07144100-331-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_071912213-335-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_07191222-336-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_07198000-337-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_07198000-338-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_07241550-342-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_08317400-367-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_08317400-368-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_09041400-376-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_09041400-377-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_10129900-381-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_10129900-382-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_10133800-384-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_10133800-385-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_10133980-386-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_10133980-387-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_11044000-388-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_11044000-389-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_12101100-406-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_13013650-408-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_13013650-409-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_13206400-411-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_14182500-417-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_14182500-418-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_14206950-420-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_14206950-421-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_14211010-423-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_14211010-424-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_14302480-427-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_14302480-428-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
